"Event_ID","Report_ID","Report_Date","Wild_or_Domestic","Species","Susceptible","Cases","Deaths","Killed.and.Disposed.of","Slaughtered..Killed.for.commercial.use","Vaccinated"
"4451","155328",2022-05-10,"Wild","Red Fox",0,"0","2","0",0,0
"4451","155419",2022-05-18,"Wild","Red Fox",0,"11","7","0",0,0
"4451","155700",2022-06-03,"Wild","Red Fox",0,"15","1","4",0,0
"4451","155740",2022-06-17,"Wild","Coyote",0,"1","0","1",0,0
"4451","155740",2022-06-17,"Wild","Virginia Opossum",0,"2","1","1",0,0
"4451","155740",2022-06-17,"Wild","Bobcat",0,"2","0","2",0,0
"4451","155740",2022-06-17,"Wild","Racoon (Northern raccoon)",0,"4","2","0",0,0
"4451","155740",2022-06-17,"Wild","Red Fox",0,"13","5","6",0,0
"4451","156029",2022-07-05,"Wild","Coyote",0,"0","0","0",0,0
"4451","156029",2022-07-05,"Wild","Virginia Opossum",0,"0","0","0",0,0
"4451","156029",2022-07-05,"Wild","Bobcat",0,"0","0","0",0,0
"4451","156029",2022-07-05,"Wild","Striped Skunk",0,"1","0","1",0,0
"4451","156029",2022-07-05,"Wild","Racoon (Northern raccoon)",0,"1","0","1",0,0
"4451","156029",2022-07-05,"Wild","Red Fox",0,"9","5","4",0,0
"4451","156100",2022-07-07,"Wild","Coyote",0,"0","0","0",0,0
"4451","156100",2022-07-07,"Wild","Virginia Opossum",0,"0","0","0",0,0
"4451","156100",2022-07-07,"Wild","Bobcat",0,"0","0","0",0,0
"4451","156100",2022-07-07,"Wild","Striped Skunk",0,"0","0","0",0,0
"4451","156100",2022-07-07,"Wild","Harbor Seal",0,"4","3","1",0,0
"4451","156100",2022-07-07,"Wild","Racoon (Northern raccoon)",0,"0","0","0",0,0
"4451","156100",2022-07-07,"Wild","Red Fox",0,"0","0","0",0,0
"4451","156202",2022-07-15,"Wild","Coyote",0,"0","0","0",0,0
"4451","156202",2022-07-15,"Wild","Virginia Opossum",0,"0","0","0",0,0
"4451","156202",2022-07-15,"Wild","Gray Seal",0,"1","1","0",0,0
"4451","156202",2022-07-15,"Wild","Bobcat",0,"0","0","0",0,0
"4451","156202",2022-07-15,"Wild","Striped Skunk",0,"2","0","2",0,0
"4451","156202",2022-07-15,"Wild","Harbor Seal",0,"5","5","0",0,0
"4451","156202",2022-07-15,"Wild","Racoon (Northern raccoon)",0,"1","0","0",0,0
"4451","156202",2022-07-15,"Wild","Red Fox",0,"1","0","0",0,0
"4451","156507",2022-08-05,"Wild","Coyote",0,"0","0","0",0,0
"4451","156507",2022-08-05,"Wild","Virginia Opossum",0,"0","0","0",0,0
"4451","156507",2022-08-05,"Wild","Gray Seal",0,"0","0","0",0,0
"4451","156507",2022-08-05,"Wild","Bobcat",0,"0","0","0",0,0
"4451","156507",2022-08-05,"Wild","Striped Skunk",0,"1","1","0",0,0
"4451","156507",2022-08-05,"Wild","Harbor Seal",0,"6","5","1",0,0
"4451","156507",2022-08-05,"Wild","Racoon (Northern raccoon)",0,"0","0","0",0,0
"4451","156507",2022-08-05,"Wild","Red Fox",0,"0","0","0",0,0
"4451","156507",2022-08-05,"Wild","Fisher",0,"1","0","1",0,0
"4451","156650",2022-08-19,"Wild","Coyote",0,"0","0","0",0,0
"4451","156650",2022-08-19,"Wild","Virginia Opossum",0,"0","0","0",0,0
"4451","156650",2022-08-19,"Wild","Gray Seal",0,"0","0","0",0,0
"4451","156650",2022-08-19,"Wild","Bobcat",0,"0","0","0",0,0
"4451","156650",2022-08-19,"Wild","Striped Skunk",0,"0","0","0",0,0
"4451","156650",2022-08-19,"Wild","Harbor Seal",0,"1","1","0",0,0
